id,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
zy0e9,3,24,4,3,8,4
r5oiv,12,19,24,11,29,90
k2dfw,3,1,63,3,1,33
kk6tx,5,16,93,3,21,48
kmxjr,11,15,5,12,12,39
vaq1n,11,18,84,12,14,24
ic3kx,3,23,63,5,30,89
ezkks,3,1,18,3,1,31
iqecb,11,1,75,3,1,78
ale15,3,17,60,12,1,81
c2jm8,12,1,80,3,1,11
cempo,11,24,92,5,10,4
u739i,12,30,10,12,7,67
sc6ex,11,15,54,3,5,27
s6cw8,5,6,38,12,11,13
m8kji,11,5,14,3,12,83
sv66l,12,16,15,12,10,71
es0yb,12,1,52,11,1,64
x57wo,3,30,5,3,25,97
n2gh9,3,6,12,3,11,31
ym0o2,5,14,49,11,19,39
d2sny,3,4,82,12,22,76
mhkbs,3,14,96,11,16,62
sxn0p,3,26,86,11,13,82
mha43,5,3,35,12,31,46
lqhvr,11,17,65,11,8,89
emxib,3,21,49,11,26,25
jfm3j,12,30,42,5,25,58
g8e93,11,4,13,12,7,30
hctyq,5,2,75,12,2,10
r9ets,3,19,29,3,31,23
qvjre,11,30,36,3,27,12
pes0y,11,12,66,12,25,10
j8cpc,5,1,89,11,1,64
ym0vh,11,25,26,12,11,83
ccfp8,5,3,63,3,27,47
iogjy,3,6,18,12,15,83
dk3bl,11,26,86,11,11,86
ijqot,12,6,69,11,22,8
zlhxk,12,1,1,3,1,91
j58ij,12,20,59,11,2,16
x83qt,11,19,92,5,16,48
mix7q,11,1,86,3,1,51
spv3t,3,16,28,12,22,85
lpra2,11,9,81,12,22,18
gm5nj,11,19,9,3,29,59
t5e23,5,5,37,3,5,84
zhhl5,12,4,24,12,12,51
gmdod,5,9,10,11,9,11
utgka,5,7,99,3,9,43
ga07o,11,17,81,3,9,56
sa8on,3,30,96,3,7,10
u2z0y,5,23,73,5,2,39
laly6,3,24,91,3,27,77
two6t,3,8,40,11,28,87
heo4p,11,4,40,12,20,2
ctbxl,3,10,20,12,19,59
cd8o3,12,31,78,12,25,57
lz5pz,12,13,20,12,22,15
x7xx6,12,22,7,11,29,43
dmt06,3,1,94,3,1,33
l2o2v,5,18,32,12,30,30
sqq1a,3,1,61,3,1,1
f8hz7,12,12,91,12,12,17
shvtb,11,27,31,3,29,86
hx867,3,23,39,5,20,7
vrzik,5,11,92,12,26,43
p7k05,12,27,63,12,28,47
owc8i,5,12,53,12,23,92
e9fmz,11,1,64,5,1,16
mbn66,3,1,72,3,1,67
wt229,11,4,12,11,24,53
apk5r,5,8,19,3,17,62
tvx29,11,30,73,3,27,31
mnm5l,12,10,20,11,19,38
sxwpx,11,13,77,3,13,93
rzggq,3,24,66,12,24,53
l4nqp,3,15,74,11,8,5
i2fvx,3,1,99,12,1,54
qhgza,5,27,66,12,4,66
dhrab,3,17,19,3,19,88
pwx8v,5,24,48,12,28,89
ceuad,11,11,40,12,22,27
qhe9x,3,20,39,5,17,29
qvbfe,12,1,1,12,1,6
cw1vg,3,27,53,11,15,12
tjrpd,11,6,12,3,25,96
kpih5,3,24,64,3,22,4
ue1bg,11,27,1,3,15,22
b5hcr,11,20,74,12,5,60
eiwtu,12,7,69,12,12,45
mbkb8,12,1,88,11,1,75
ed45x,11,1,76,3,1,30
i366k,12,7,98,3,1,91
r1kel,12,15,2,3,5,17
d7fuf,12,17,55,12,5,36
rr684,11,1,39,3,1,43
c4tbx,12,1,71,12,1,70
eqiza,12,31,21,11,29,4
pfpgy,5,20,86,5,25,51
u2yev,3,13,11,12,15,8
e77fh,12,5,15,11,9,49
hgj6c,11,8,21,5,20,16
yu73q,5,15,67,12,19,77
ztoy9,3,23,16,5,28,56
pup6m,11,15,11,3,31,21
lchxp,5,16,86,11,5,21
j6yu6,11,22,94,11,21,55
p0gzy,12,4,36,5,3,32
p7af2,11,1,2,12,1,40
h8k8b,12,28,65,3,20,23
azox6,5,28,23,12,19,65
dui8k,3,23,21,3,1,98
ysg59,12,1,12,11,1,17
knpq8,12,12,83,12,27,64
mvd1q,3,6,25,3,2,51
mcrcj,12,1,98,11,1,23
u0rpm,3,28,25,11,9,84
b5i7n,5,1,90,12,1,22
cow1q,12,18,35,5,5,8
hwo14,11,1,28,3,1,92
m5xkw,5,7,8,12,13,28
rwi41,11,1,25,12,21,37
mpbzh,5,3,35,5,29,35
l0oz6,12,1,30,11,1,16
ydbyq,12,30,57,12,30,73
eze5i,12,1,7,3,1,29
oeo3d,12,9,15,3,31,8
os3sc,11,1,78,11,1,19
mhvxf,12,17,25,12,11,81
uoduq,12,2,17,11,14,30
gxm9b,12,3,82,3,31,38
yic4k,11,8,25,11,26,18
ib264,12,28,32,12,25,18
ohckg,3,12,16,11,2,9
n1mqx,5,9,64,3,3,77
wpkhh,3,17,72,3,15,57
leviy,5,10,35,11,10,12
hmr4y,3,26,87,3,28,91
aka0l,11,29,89,3,10,91
jcv3x,5,9,28,12,12,62
v3h4l,12,2,39,11,10,83
asiw6,3,1,55,11,1,43
x9ko5,12,28,32,12,16,83
ol5ts,3,8,52,11,7,86
d757c,12,3,18,12,7,35
heeto,12,19,58,3,8,76
ohyi8,11,23,96,3,19,48
imqca,12,1,81,12,1,73
cfgdp,3,3,39,11,25,79
rzy2v,11,1,38,11,1,34
rf54j,3,26,58,12,20,2
d5tnf,12,18,62,3,2,89
h7xp1,12,4,81,3,1,43
g1shq,12,14,50,12,1,99
rvge7,5,1,67,12,1,10
suvp3,12,9,43,5,19,56
sna1j,3,23,49,5,1,7
y1rmt,11,22,46,5,26,3
tpojm,11,22,28,5,25,89
ilq8n,3,13,9,12,3,98
cwbay,11,8,48,11,21,67
py1ul,3,1,61,11,1,97
xd8g9,11,18,26,3,7,18
zjud2,12,1,53,3,1,58
fotej,11,21,62,12,20,73
goc0m,3,12,19,12,15,92
a0gb7,12,17,91,3,6,64
dh8zt,12,15,65,3,15,24
owun7,12,1,17,12,1,79
oc0wf,3,8,68,11,25,42
jx8ku,3,14,75,3,10,66
inach,5,1,65,3,1,61
vw2ce,3,9,42,3,29,94
l44t2,12,10,52,11,17,28
vhb6l,11,13,13,3,18,90
zmsvc,3,10,67,5,29,62
ivu09,11,31,51,11,11,48
fzv5r,3,22,54,11,8,10
yb588,11,30,90,5,21,65
q66yb,3,12,13,12,20,97
h0dfw,3,15,34,3,9,82
q7ifs,5,23,1,3,28,46
nm4g7,11,14,50,12,18,38
xjmy4,5,3,78,11,4,37
grsxx,3,21,70,12,27,24
z2e8c,11,17,33,3,31,8
yi2kv,3,30,18,5,21,74
ef3ke,12,23,64,12,9,35
edg0c,3,9,24,11,21,36
nvxlw,11,31,22,3,1,8
bkpbe,12,1,91,3,1,2
hdamj,11,24,32,11,31,21
lja28,3,25,26,12,31,9
z0g2j,5,1,88,3,1,80
zk2h9,5,9,58,3,18,29
d4wsj,3,16,23,12,22,44
xxqxc,11,1,35,12,1,49
cndoz,12,26,81,3,3,61
te33j,11,19,11,5,15,65
vg01x,11,22,94,3,31,28
xfsjk,3,20,16,5,19,71
fu9hi,11,28,60,11,27,53
xih7d,3,1,28,12,1,2
dhxm6,3,25,19,11,8,4
nverd,11,23,18,11,19,32
mp6rx,11,2,94,11,8,80
in8vz,3,9,77,12,29,2
a217q,11,29,36,11,22,27
ufiiu,12,2,19,3,30,17
idm0q,12,22,66,5,31,61
rmsea,5,23,71,5,8,61
kzvym,11,1,68,5,1,1
jh30c,12,14,8,3,7,42
x8ukm,11,7,55,12,20,23
ctdco,5,28,84,3,6,58
t8o41,12,26,2,11,29,52
t4f93,3,1,48,3,1,41
j4bjs,12,1,58,3,1,37
gwx9a,12,29,82,3,17,96
ajctj,12,5,14,3,31,92
ywnjm,3,25,81,5,28,38
yw8gg,11,1,1,11,1,86
g8668,12,1,10,3,1,6
ahgx1,3,9,74,3,5,54
d396i,11,17,34,12,31,65
bksk1,11,28,82,11,7,24
v30a3,11,1,47,5,1,29
xkmue,3,14,88,3,6,59
d0yqm,11,1,22,11,1,46
tkx9r,12,28,30,3,8,45
e9qa5,12,18,40,12,8,93
jmxqw,11,1,98,12,26,6
p188j,12,22,93,12,27,71
sayhm,3,1,66,3,1,63
w1vv3,11,1,1,3,1,42
bw7hp,12,21,64,11,7,50
fp34m,12,5,37,3,14,41
h7xi5,12,4,48,5,21,72
igy7z,11,26,72,3,11,43
zs4gj,12,1,35,11,8,60
ux0jw,5,18,67,12,8,44
i2tf9,12,1,9,5,1,1
zmoui,3,9,79,11,28,48
mc41g,11,2,41,5,31,35
ns097,3,1,91,5,1,70
lc3fw,5,1,40,3,1,60
dv7ur,3,14,8,12,29,75
yvcb0,12,1,51,5,1,44
arzr5,3,19,88,11,8,61
elojf,3,19,55,3,14,40
feddm,5,17,58,3,17,42
hq23s,5,1,19,11,1,12
dvgji,12,6,79,11,13,6
armhr,11,28,10,3,17,97
re419,3,20,36,11,28,20
zjv3o,5,9,93,11,16,27
d7ggs,11,1,98,12,1,64
hmw4l,12,24,18,11,14,67
n0lb3,12,15,25,11,9,97
ysxnq,3,8,83,12,10,65
s3ufs,3,15,47,11,24,34
teg95,11,1,4,12,1,66
p5d9h,5,4,53,3,3,75
kgunq,3,1,46,3,1,84
f5vk7,11,20,62,12,27,89
wzkbf,3,21,2,5,9,11
uhe7c,12,9,63,3,5,73
a82cq,3,13,4,3,8,38
sajjy,3,6,24,3,1,46
cg1z7,12,1,7,11,1,13
ttozy,3,29,96,5,8,98
vhjx5,12,21,27,11,1,84
ds6tw,5,1,32,11,20,91
lnxcx,12,7,67,11,11,94
dov9p,11,24,61,11,22,41
oy0g9,3,3,49,11,30,60
yt0el,12,12,53,12,14,21
c7sav,12,8,69,5,17,89
k4cgr,3,20,82,5,22,27
zodgs,3,8,54,3,1,10
hvdzn,5,22,18,3,15,8
d98wa,11,6,64,3,23,84
mejpn,3,16,73,11,22,1
n1vk8,12,14,68,5,19,54
r6xh6,3,26,4,11,16,27
i0fgk,3,11,85,3,13,36
yw5fa,11,12,86,11,25,85
nyqcq,3,1,35,3,1,22
hb85q,3,20,1,12,27,56
y36bv,3,28,3,11,17,79
yhkwf,11,26,55,5,17,94
m7r5a,3,1,59,12,1,48
a2mzs,12,11,36,3,19,69
puurp,12,30,74,3,21,77
o98vf,3,11,44,11,28,32
db9gy,3,9,86,3,12,29
qz3lw,11,23,51,3,6,94
vqh01,3,6,87,3,24,98
cs4w1,11,31,12,3,5,90
s15wc,11,10,83,12,20,13
d8807,3,14,94,3,13,18
th6ew,11,1,63,5,1,40
ks4tv,12,11,17,3,18,4
alrn7,11,4,21,12,11,46
zthb4,3,10,10,12,9,76
ewpkk,3,1,50,11,1,56
pwstw,12,22,47,11,24,4
e7gw1,11,17,40,12,17,62
yrosz,11,1,20,3,1,40
tmfdc,12,1,25,3,1,57
u6fxg,5,8,72,12,26,10
ls1fr,5,1,14,3,1,94
mp1u0,12,28,93,12,24,30
qviu6,12,9,65,11,22,59
uo1xd,11,28,7,3,20,57
wdugo,3,11,6,11,10,37
aqq0n,3,30,48,11,25,63
rdr5m,11,8,41,11,27,29
c1qgt,5,17,8,3,1,30
hr0yf,5,1,83,3,1,32
vceyr,3,18,20,3,20,57
gnrau,3,6,60,5,6,96
ufwfj,12,25,45,12,6,7
m7x5r,12,20,20,11,16,13
g0rwv,11,1,61,12,1,18
iawew,5,1,23,11,1,20
ne3vr,12,30,28,11,16,85
t77k8,3,21,44,12,6,98
ppm75,12,1,99,11,1,66
y4pv9,12,24,73,5,13,56
wb77p,3,1,66,3,1,51
tbmdy,5,3,33,12,7,57
pmnux,12,21,97,3,13,20
hepds,5,15,73,12,8,4
klng2,3,8,10,5,9,6
dkvxy,11,9,35,11,20,96
ja3x2,12,8,5,11,21,81
y0s0j,3,29,71,3,20,82
lmnot,3,23,1,11,21,75
c0il2,11,16,7,12,1,34
q2idm,3,5,64,11,4,59
zewzz,11,1,86,11,1,63
wmor1,11,1,41,11,26,21
h86mf,11,12,62,3,26,20
lb67t,11,1,88,5,1,62
ncq02,11,14,56,5,21,17
g22dy,11,19,21,12,17,1
g9osj,11,11,32,3,29,46
g2m9u,3,17,22,3,22,18
zmub7,11,17,35,3,12,62
tqqox,3,12,34,3,16,67
v2xe0,3,4,33,5,24,97
vx9j2,11,2,9,3,20,91
y5b63,12,1,38,12,1,80
c29hb,12,1,60,11,1,32
wwv4v,11,10,37,5,10,11
besn5,3,6,42,3,11,16
mz30g,12,22,42,11,13,5
p4djf,11,12,72,12,25,80
jd5ed,12,1,98,3,1,23
ddxiy,12,1,91,3,1,19
ejhfi,5,1,71,12,1,4
vi4tp,5,1,28,12,1,38
i6r5o,12,12,5,11,31,72
i9gsp,3,30,99,11,20,28
y5jmk,3,14,69,5,7,41
dwhrw,5,5,23,3,22,10
xhkff,5,26,38,3,6,45
x73gu,11,12,73,11,27,54
pd412,5,6,98,12,25,57
eln5u,11,29,23,11,3,68
eu93m,3,1,30,11,1,5
hbi1f,11,1,28,5,1,6
pk7pi,5,12,4,3,30,96
dt7hv,11,26,93,3,16,54
l2v5o,5,1,41,5,1,35
d2ocl,5,7,21,11,1,83
of0o0,12,1,2,5,1,94
a0t7q,12,25,79,11,12,34
sywzr,5,4,49,11,31,2
bp36c,5,6,64,11,14,53
f96vs,5,7,15,12,4,97
eqsgo,11,19,21,12,21,67
v8tnh,3,9,88,12,13,24
b1ruo,3,10,22,3,3,44
lbkvh,3,8,39,3,23,90
ps4g4,12,4,22,5,20,91
nfrxi,11,22,11,12,12,5
riqa7,11,4,19,12,28,97
uj2k3,5,26,10,12,22,9
kgzz0,12,1,33,12,1,69
vbf5m,3,1,22,12,1,19
i23yg,3,20,13,12,21,74
zmca4,5,6,24,3,19,55
nr2ff,3,30,27,12,5,80
tutob,12,31,32,11,14,44
wjffj,12,3,42,11,14,69
uxz2k,11,1,69,11,19,93
wt3ra,5,30,87,5,30,81
nrank,11,29,85,11,7,42
b60x8,12,15,78,11,14,15
m7ltu,12,20,20,11,20,67
eabma,11,16,71,11,31,17
xyaid,11,18,69,5,29,78
gr5bx,3,23,53,5,15,12
ft6v4,12,24,10,3,30,37
gy1rm,5,1,94,11,1,69
qsezd,3,1,90,3,1,82
o7aeg,5,15,39,12,6,70
yga9y,11,20,73,3,27,92
kknit,12,15,64,12,5,89
horok,3,1,59,12,1,11
bseut,11,1,31,3,1,1
ae580,5,13,46,12,3,38
j870m,5,13,93,11,11,70
yh4r0,12,16,23,11,30,19
n67yk,3,31,99,5,18,29
xc2as,3,1,27,3,1,35
ckp5q,3,1,92,11,1,84
cfpd5,11,15,21,3,4,13
vb7hx,3,16,14,11,28,8
c5g7p,11,24,5,3,31,67
bsm9y,3,1,89,11,1,37
kmc6x,11,1,94,11,1,91
yeqjj,3,17,43,12,9,74
rrcib,3,1,22,3,1,11
c76fu,12,16,88,12,5,78
vitqa,12,16,12,12,4,24
v21ch,11,23,90,11,14,25
uenqx,12,7,77,12,11,49
xwer2,3,7,82,12,30,48
g64ks,5,29,21,11,26,13
zfnkj,12,21,9,12,5,84
i504m,3,14,9,12,5,3
uo3b0,11,1,26,3,1,64
pym7i,3,15,83,11,10,58
ummnm,5,3,55,3,7,1
qr8rw,12,21,78,5,20,82
qyxlk,5,20,51,5,26,32
qnn3q,3,17,19,5,17,65
u79yy,11,15,68,12,13,82
tefz9,3,1,98,12,6,30
d2jyw,12,1,78,3,28,89
vb5mw,12,30,99,3,27,78
nm7q4,3,10,47,3,6,22
i7bpy,12,16,66,11,6,55
n4zxn,3,1,21,12,1,63
zf6b2,12,24,35,12,2,68
wbn4i,11,14,54,12,10,56
vjhyh,12,1,26,3,1,5
mzv6x,12,29,33,11,20,98
uofpt,3,9,69,3,30,65
k7jn6,11,1,17,11,1,48
r74ge,5,17,1,12,25,90
qnjl8,11,24,93,5,7,29
gtk03,12,27,5,11,30,38
gpbqn,3,8,38,11,4,5
bgw0o,11,27,97,3,2,76
dn2g9,11,27,54,3,26,32
lpsvq,3,1,69,11,1,66
mbz61,11,19,23,11,7,98
eyc2p,11,1,39,3,1,56
kkril,11,29,84,12,12,2
p31u5,5,1,72,11,1,43
gf4rw,11,1,78,3,1,50
i429i,3,21,13,5,12,32
jgays,5,1,39,11,1,87
nxom5,12,1,49,3,1,18
jg2dn,5,28,4,5,10,62
tbabj,5,1,25,5,1,76
i7mwy,5,25,14,12,27,35
l56bh,12,1,45,12,1,98
j1290,11,20,99,12,4,29
etmqa,3,1,85,12,1,15
rybxw,12,8,26,3,3,56
g940w,12,9,90,12,7,7
hk1ts,11,14,99,12,8,14
uwjjb,3,30,36,12,16,10
yn3dr,11,1,92,12,1,18
r457n,11,1,42,11,1,56
xmjoy,11,15,74,12,31,12
wyvqz,11,1,93,11,1,24
mmd8d,11,1,84,5,1,5
u4u9t,12,16,35,3,1,92
ibddp,3,3,52,12,3,95
l1w3t,5,19,39,11,2,10
negf7,12,11,14,3,9,19
y2bhj,12,1,39,11,21,30
wzc9k,3,31,56,11,27,76
m4yna,11,27,72,12,31,6
qtbzh,3,14,91,3,16,34
f8amo,11,18,20,5,11,73
u1i2l,12,14,94,11,4,58
oc4gp,12,1,2,11,1,11
nvaxt,3,7,99,11,21,43
t1d5c,12,1,51,12,1,80
q7lcj,5,1,66,11,3,33
brekk,3,1,91,3,1,22
hfraj,5,21,7,5,6,66
efbr6,3,22,71,3,11,44
tmxfz,11,26,49,5,22,16
ayoju,11,1,54,11,13,90
fvzhm,12,8,57,11,10,84
p3331,11,11,96,3,26,22
sckkl,12,24,27,11,3,68
nrg2s,11,7,23,11,8,56
wc3lu,11,2,92,3,26,75
xpmlo,12,19,48,12,3,42
dcyxs,3,1,24,11,1,86
y5tnv,12,18,32,5,4,43
p20uw,11,24,8,12,23,82
q9yzx,11,23,94,11,19,45
c87m0,3,21,5,3,19,16
qxts6,12,27,24,12,6,38
s66km,3,19,81,3,11,66
pd2y9,12,31,50,12,27,13
c0hko,12,7,47,12,2,1
n1o8v,11,17,96,5,10,11
yn8tl,11,25,29,11,15,91
so1d2,3,30,31,12,21,89
ddzzv,3,18,21,11,3,1
ygu3k,3,22,47,3,14,41
y7e6m,11,7,84,3,24,98
eziwx,3,15,33,12,4,94
ur46f,12,4,88,3,9,74
k3xse,5,1,61,11,5,75
pvnbg,11,11,33,3,15,23
ldkg4,3,1,26,5,1,34
ukp0d,12,24,58,3,1,7
zmhs4,3,5,94,3,16,19
utod7,11,1,97,12,1,42
yquss,12,1,9,5,1,67
ydqp1,5,1,43,5,1,66
cp4xe,12,7,99,11,12,24
g5ozk,11,1,73,5,1,74
s16b0,12,20,54,5,14,7
p0koo,5,1,8,12,1,4
bqp67,12,1,54,12,1,89
c7rza,12,1,47,3,12,12
na0xd,11,20,68,11,30,53
qxw0s,3,14,98,3,10,48
e11vt,3,25,37,12,27,15
e2g96,12,2,48,3,7,81
dt6zp,11,1,24,3,1,64
opvjt,5,25,74,12,15,9
aotod,11,3,16,11,18,47
ozrhi,12,12,45,11,17,5
ms2j4,11,16,56,11,15,75
m2ae0,12,29,44,11,12,23
rte9a,11,1,24,3,7,61
noa6q,12,29,58,12,8,9
sw3jl,12,19,69,11,20,47
tw7gp,11,5,8,11,14,92
xjghq,11,25,92,11,18,14
udwgs,5,30,78,12,31,98
nipfg,11,1,10,3,1,32
mlzpm,12,19,14,12,2,52
gu83o,5,1,22,11,1,83
psh04,11,1,25,5,1,78
d4h0g,5,5,42,12,20,20
yazpk,3,29,3,12,9,19
vspiq,11,8,59,11,6,95
db27u,12,1,32,11,1,94
uw0r9,12,15,78,12,11,68
dkzkk,5,1,72,3,1,95
sp1o4,11,4,11,11,26,53
cnpsx,5,17,33,12,13,9
mprce,12,8,57,5,13,89
rf0np,11,11,96,12,5,41
stmeq,11,1,28,12,1,70
kmuw1,3,1,76,3,1,80
xs69y,12,1,87,3,1,90
u794f,11,14,60,12,9,37
fyfk2,5,11,53,12,20,97
rtwo5,11,25,25,12,24,7
smy1a,12,23,31,12,7,42
i4yhh,3,4,50,5,5,41
tcqcy,11,1,73,12,1,22
xcx0n,11,5,78,12,3,71
vmz67,11,7,80,11,1,9
twime,3,2,52,11,12,87
qbe1q,3,1,54,12,1,23
hukcq,5,6,5,12,7,89
updxi,12,28,17,3,30,81
jsmd7,12,2,10,12,2,3
nwkib,3,29,73,12,19,96
i1lh7,3,25,34,11,12,24
i9pv3,5,1,54,5,1,26
evj1e,3,15,33,12,8,63
ytrvz,3,10,59,11,17,52
dc4ki,12,22,99,12,22,20
ct94r,11,1,22,3,1,49
yvsy4,3,11,57,11,28,72
ofou1,3,7,80,12,13,71
ldu1e,12,27,15,12,10,37
tgb47,12,9,94,5,17,17
jq5v9,12,6,2,11,3,86
ddy0x,11,1,62,11,1,88
srhgx,12,26,52,12,25,45
eurbn,11,6,92,5,19,59
o5y1d,11,17,20,5,7,22
yqs21,12,17,95,3,7,90
yd3br,12,14,23,12,17,49
jimpu,12,11,40,5,6,35
ubeyd,11,25,91,12,27,1
pi3he,3,26,2,11,7,47
mrpeo,3,26,64,12,6,71
d49cz,12,1,56,3,1,46
jy11y,12,1,28,3,1,43
q5jen,11,31,71,12,8,57
zhgbt,5,30,51,3,28,23
a3cx6,3,10,41,3,4,31
srhyh,3,5,3,12,21,47
weral,11,20,20,12,21,17
y2fs9,5,27,49,12,17,37
lhkz0,12,31,83,5,23,76
dr0wi,3,1,31,12,1,23
h3jyt,3,1,26,3,9,13
wt460,5,8,29,11,28,89
wvkzb,3,19,75,11,4,37
qdvjr,12,28,48,11,22,17
d7mpx,11,14,12,11,14,9
d08l6,12,6,93,12,15,43
mhxc8,12,1,21,11,1,36
p2o6d,12,1,43,11,1,30
anqxx,5,18,77,11,22,88
rb2f7,11,18,97,5,21,3
ooson,11,5,5,11,27,16
aqk6v,5,1,31,11,30,6
cqycw,12,1,14,12,1,80
lghxq,12,28,88,3,11,91
sgcvs,12,1,95,12,1,14
vih06,3,9,22,3,15,31
l73i0,3,29,48,12,19,93
hnegq,11,15,73,11,20,18
zkg1b,3,26,12,11,31,12
l8oll,11,7,22,3,10,83
iy7j7,12,18,14,12,21,33
l67wa,11,6,66,12,2,19
als2a,12,15,85,5,12,3
